Date,Year,Month_name,Day,Hour,Weekday,Work Day,Seasons,Holiday,Functioning Day,Temp_c,Humidity,Humidity_cat,Wind_m_s,Wind_cat,Rain_mm,Rain_cat,Snow_cm,Snow_cat,Bike_count
2017-12-01,2017,Dec,1,0,Friday,True,Winter,No Holiday,Yes,-5.2,37,Low,2.2,Light,0.0,No Rain,0.0,No Snow,254
2017-12-01,2017,Dec,1,1,Friday,True,Winter,No Holiday,Yes,-5.5,38,Low,0.8,Calm,0.0,No Rain,0.0,No Snow,204
2017-12-01,2017,Dec,1,2,Friday,True,Winter,No Holiday,Yes,-6.0,39,Low,1.0,Calm,0.0,No Rain,0.0,No Snow,173
2017-12-01,2017,Dec,1,3,Friday,True,Winter,No Holiday,Yes,-6.2,40,Low,0.9,Calm,0.0,No Rain,0.0,No Snow,107
2017-12-01,2017,Dec,1,4,Friday,True,Winter,No Holiday,Yes,-6.0,36,Low,2.3,Light,0.0,No Rain,0.0,No Snow,78
2017-12-01,2017,Dec,1,5,Friday,True,Winter,No Holiday,Yes,-6.4,37,Low,1.5,Calm,0.0,No Rain,0.0,No Snow,100
2017-12-01,2017,Dec,1,6,Friday,True,Winter,No Holiday,Yes,-6.6,35,Low,1.3,Calm,0.0,No Rain,0.0,No Snow,181
2017-12-01,2017,Dec,1,7,Friday,True,Winter,No Holiday,Yes,-7.4,38,Low,0.9,Calm,0.0,No Rain,0.0,No Snow,460
2017-12-01,2017,Dec,1,8,Friday,True,Winter,No Holiday,Yes,-7.6,37,Low,1.1,Calm,0.0,No Rain,0.0,No Snow,930
2017-12-01,2017,Dec,1,9,Friday,True,Winter,No Holiday,Yes,-6.5,27,Low,0.5,Calm,0.0,No Rain,0.0,No Snow,490
2017-12-01,2017,Dec,1,10,Friday,True,Winter,No Holiday,Yes,-3.5,24,Low,1.2,Calm,0.0,No Rain,0.0,No Snow,339
2017-12-01,2017,Dec,1,11,Friday,True,Winter,No Holiday,Yes,-0.5,21,Low,1.3,Calm,0.0,No Rain,0.0,No Snow,360
2017-12-01,2017,Dec,1,12,Friday,True,Winter,No Holiday,Yes,1.7,23,Low,1.4,Calm,0.0,No Rain,0.0,No Snow,449
2017-12-01,2017,Dec,1,13,Friday,True,Winter,No Holiday,Yes,2.4,25,Low,1.6,Calm,0.0,No Rain,0.0,No Snow,451
